eventID,eventDate,station,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,countryCode,maximumDepthInMeters
1RZ-1-25-2021-0,2021-01-25,1RZ,49.6785,-123.1851,WSGS84,300,CA,0
1RZ-3-24-2021-0,2021-03-24,1RZ,49.6785,-123.1851,WSGS84,300,CA,0
1RZ-4-19-2021-0,2021-04-19,1RZ,49.6785,-123.1851,WSGS84,300,CA,0
1RZ-8-9-2021-0,2021-08-09,1RZ,49.6784,-123.1856,WSGS84,300,CA,0
1RZ-9-27-2021-0,2021-09-27,1RZ,49.6785,-123.1851,WSGS84,300,CA,0
2F-1-25-2021-0,2021-01-25,2F,49.6642,-123.2468,WSGS84,300,CA,0
2F-3-24-2021-0,2021-03-24,2F,49.6642,-123.2468,WSGS84,300,CA,0
2F-4-19-2021-0,2021-04-19,2F,49.6642,-123.2467,WSGS84,300,CA,0
2F-8-9-2021-0,2021-08-09,2F,49.6642,-123.2467,WSGS84,300,CA,0
2F-9-27-2021-0,2021-09-27,2F,49.6642,-123.2468,WSGS84,300,CA,0
3R-1-25-2021-0,2021-01-25,3R,49.6226,-123.2118,WSGS84,300,CA,0
3R-3-24-2021-0,2021-03-24,3R,49.6224,-123.2117,WSGS84,300,CA,0
3R-4-19-2021-0,2021-04-19,3R,49.6224,-123.2117,WSGS84,300,CA,0
3R-8-9-2021-0,2021-08-09,3R,49.6224,-123.2117,WSGS84,300,CA,0
3R-9-27-2021-0,2021-09-27,3R,49.6224,-123.2117,WSGS84,300,CA,0
4BZ-1-25-2021-0,2021-01-25,4BZ,49.5553,-123.2511,WSGS84,300,CA,0
4BZ-1-25-2021-10,2021-01-25,4BZ,49.5553,-123.2511,WSGS84,300,CA,10
4BZ-1-25-2021-20,2021-01-25,4BZ,49.5553,-123.2511,WSGS84,300,CA,20
4BZ-1-25-2021-5,2021-01-25,4BZ,49.5553,-123.2511,WSGS84,300,CA,5
4BZ-3-24-2021-0,2021-03-24,4BZ,49.5553,-123.2511,WSGS84,300,CA,0
4BZ-3-24-2021-10,2021-03-24,4BZ,49.5553,-123.2511,WSGS84,300,CA,10
4BZ-3-24-2021-20,2021-03-24,4BZ,49.5553,-123.2511,WSGS84,300,CA,20
4BZ-3-24-2021-5,2021-03-24,4BZ,49.5553,-123.2511,WSGS84,300,CA,5
4BZ-4-19-2021-0,2021-04-19,4BZ,49.5571,-123.2507,WSGS84,300,CA,0
4BZ-4-19-2021-10,2021-04-19,4BZ,49.5571,-123.2507,WSGS84,300,CA,10
4BZ-4-19-2021-20,2021-04-19,4BZ,49.5571,-123.2507,WSGS84,300,CA,20
4BZ-4-19-2021-5,2021-04-19,4BZ,49.5571,-123.2507,WSGS84,300,CA,5
4BZ-8-9-2021-0,2021-08-09,4BZ,49.5571,-123.2507,WSGS84,300,CA,0
4BZ-8-9-2021-10,2021-08-09,4BZ,49.5571,-123.2507,WSGS84,300,CA,10
4BZ-8-9-2021-20,2021-08-09,4BZ,49.5571,-123.2507,WSGS84,300,CA,20
4BZ-8-9-2021-5,2021-08-09,4BZ,49.5571,-123.2507,WSGS84,300,CA,5
4BZ-9-27-2021-0,2021-09-27,4BZ,49.5553,-123.2511,WSGS84,300,CA,0
4BZ-9-27-2021-10,2021-09-27,4BZ,49.5553,-123.2511,WSGS84,300,CA,10
4BZ-9-27-2021-20,2021-09-27,4BZ,49.5553,-123.2511,WSGS84,300,CA,20
4BZ-9-27-2021-5,2021-09-27,4BZ,49.5553,-123.2511,WSGS84,300,CA,5
5RZ-1-25-2021-0,2021-01-25,5RZ,49.5142,-123.4765,WSGS84,300,CA,0
5RZ-3-24-2021-0,2021-03-24,5RZ,49.5142,-123.4765,WSGS84,300,CA,0
5RZ-4-19-2021-0,2021-04-19,5RZ,49.5142,-123.4765,WSGS84,300,CA,0
5RZ-8-9-2021-0,2021-08-09,5RZ,49.5164,-123.4849,WSGS84,300,CA,0
5RZ-9-27-2021-0,2021-09-27,5RZ,49.5164,-123.4849,WSGS84,300,CA,0
6R-1-25-2021-0,2021-01-25,6R,49.4831,-123.2876,WSGS84,300,CA,0
6R-3-24-2021-0,2021-03-24,6R,49.4831,-123.2876,WSGS84,300,CA,0
6R-4-19-2021-0,2021-04-19,6R,49.4861,-123.2878,WSGS84,300,CA,0
6R-8-9-2021-0,2021-08-09,6R,49.4831,-123.2876,WSGS84,300,CA,0
6R-9-27-2021-0,2021-09-27,6R,49.4861,-123.2878,WSGS84,300,CA,0
7F-1-25-2021-0,2021-01-25,7F,49.4424,-123.3988,WSGS84,300,CA,0
7F-3-24-2021-0,2021-03-24,7F,49.4415,-123.3997,WSGS84,300,CA,0
7F-4-19-2021-0,2021-04-19,7F,49.4415,-123.3997,WSGS84,300,CA,0
7F-8-9-2021-0,2021-08-09,7F,49.4415,-123.3997,WSGS84,300,CA,0
7F-9-27-2021-0,2021-09-27,7F,49.4415,-123.3997,WSGS84,300,CA,0
8BZ-3-24-2021-0,2021-03-24,8BZ,49.3351,-123.3459,WSGS84,300,CA,0
8BZ-3-24-2021-10,2021-03-24,8BZ,49.3351,-123.3459,WSGS84,300,CA,10
8BZ-3-24-2021-20,2021-03-24,8BZ,49.3351,-123.3459,WSGS84,300,CA,20
8BZ-3-24-2021-5,2021-03-24,8BZ,49.3351,-123.3459,WSGS84,300,CA,5
8BZ-4-19-2021-0,2021-04-19,8BZ,49.3351,-123.3459,WSGS84,300,CA,0
8BZ-4-19-2021-10,2021-04-19,8BZ,49.3351,-123.3459,WSGS84,300,CA,10
8BZ-4-19-2021-20,2021-04-19,8BZ,49.3351,-123.3459,WSGS84,300,CA,20
8BZ-4-19-2021-5,2021-04-19,8BZ,49.3351,-123.3459,WSGS84,300,CA,5
8BZ-8-9-2021-0,2021-08-09,8BZ,49.3351,-123.3459,WSGS84,300,CA,0
8BZ-8-9-2021-10,2021-08-09,8BZ,49.3351,-123.3459,WSGS84,300,CA,10
8BZ-8-9-2021-20,2021-08-09,8BZ,49.3351,-123.3459,WSGS84,300,CA,20
8BZ-8-9-2021-5,2021-08-09,8BZ,49.3351,-123.3459,WSGS84,300,CA,5
8BZ-9-27-2021-0,2021-09-27,8BZ,49.3377,-123.3502,WSGS84,300,CA,0
8BZ-9-27-2021-10,2021-09-27,8BZ,49.3377,-123.3502,WSGS84,300,CA,10
8BZ-9-27-2021-20,2021-09-27,8BZ,49.3377,-123.3502,WSGS84,300,CA,20
8BZ-9-27-2021-5,2021-09-27,8BZ,49.3377,-123.3502,WSGS84,300,CA,5
BS1-1-27-2019-0,2019-01-27,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-10-10-2015-0,2015-10-10,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-10-10-2018-0,2018-10-10,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-10-19-2017-0,2017-10-19,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-12-2-2018-0,2018-12-02,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-2-18-2015-0,2015-02-18,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-3-1-2016-0,2016-03-01,BS1,49.6082,-124.8659,WSGS84,300,CA,0
BS1-3-16-2023-0,2023-03-16,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-3-18-2016-0,2016-03-18,BS1,49.608,-124.8663,WSGS84,300,CA,0
BS1-3-19-2023-0,2023-03-19,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-3-2-2017-0,2017-03-02,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-3-20-2017-0,2017-03-20,BS1,49.6065,-124.8668,WSGS84,300,CA,0
BS1-3-21-2015-0,2015-03-21,BS1,49.6079,-124.8657,WSGS84,300,CA,0
BS1-3-27-2018-0,2018-03-27,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-3-29-2016-0,2016-03-29,BS1,49.6077,-124.8665,WSGS84,300,CA,0
BS1-3-8-2018-0,2018-03-08,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-3-9-2017-0,2017-03-09,BS1,49.6078,-124.8667,WSGS84,300,CA,0
BS1-4-11-2016-0,2016-04-11,BS1,49.6083,-124.8675,WSGS84,300,CA,0
BS1-4-15-2017-0,2017-04-15,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-4-18-2016-0,2016-04-18,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-4-19-2018-0,2018-04-19,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-4-20-2015-0,2015-04-20,BS1,49.6087,-124.867,WSGS84,300,CA,0
BS1-4-25-2017-0,2017-04-25,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-4-26-2018-0,2018-04-26,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-4-27-2023-0,2023-04-27,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-4-5-2015-0,2015-04-05,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-4-9-2015-0,2015-04-09,BS1,49.6082,-124.8681,WSGS84,300,CA,0
BS1-5-10-2018-0,2018-05-10,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-12-2017-0,2017-05-12,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-16-2016-0,2016-05-16,BS1,49.6079,-124.8666,WSGS84,300,CA,0
BS1-5-17-2015-0,2015-05-17,BS1,49.6077,-124.8661,WSGS84,300,CA,0
BS1-5-18-2018-0,2018-05-18,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-23-2016-0,2016-05-23,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-25-2015-0,2015-05-25,BS1,49.6082,-124.8685,WSGS84,300,CA,0
BS1-5-28-2023-0,2023-05-28,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-31-2018-0,2018-05-31,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-6-2017-0,2017-05-06,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-6-2023-0,2023-05-06,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-5-9-2016-0,2016-05-09,BS1,49.6082,-124.8674,WSGS84,300,CA,0
BS1-6-13-2017-0,2017-06-13,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-14-2018-0,2018-06-14,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-15-2016-0,2016-06-15,BS1,49.6087,-124.8668,WSGS84,300,CA,0
BS1-6-15-2023-0,2023-06-15,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-18-2015-0,2015-06-18,BS1,49.6082,-124.867,WSGS84,300,CA,0
BS1-6-20-2018-0,2018-06-20,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-22-2017-0,2017-06-22,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-25-2023-0,2023-06-25,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-28-2016-0,2016-06-28,BS1,49.6049,-124.8663,WSGS84,300,CA,0
BS1-6-6-2017-0,2017-06-06,BS1,49.6083,-124.8667,WSGS84,300,CA,0
BS1-6-8-2016-0,2016-06-08,BS1,49.6083,-124.8667,WSGS84,300,CA,0
